epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.931,1.75187,2.36931,1.49005,0.30767,0.18146,0.15036,0.07771,1.85718,2.36816,1.61786,0.067056,0.000332767,0.000332767
2,238.521,1.70555,2.0055,1.47217,0.3281,0.24316,0.19764,0.10485,1.69003,2.07406,1.46574,0.0340527,0.000662804,0.000662804
3,354.319,1.68129,1.94219,1.45597,0.334,0.26057,0.21679,0.11817,1.66326,1.94795,1.4377,0.00104613,0.00098954,0.00098954
4,470.895,1.66311,1.89363,1.43922,0.33778,0.2896,0.23969,0.12726,1.63639,1.84283,1.40659,0.00098515,0.00098515,0.00098515
5,587.389,1.63675,1.85997,1.42431,0.37587,0.27859,0.24025,0.13199,1.5874,1.83307,1.38874,0.0009802,0.0009802,0.0009802
6,703.1,1.60433,1.81524,1.40397,0.37282,0.29909,0.25823,0.14072,1.56026,1.75629,1.3812,0.00097525,0.00097525,0.00097525
7,818.962,1.59871,1.80287,1.39992,0.39613,0.29068,0.2603,0.14421,1.5717,1.79017,1.38051,0.0009703,0.0009703,0.0009703
8,935.307,1.57863,1.774,1.38328,0.40707,0.29921,0.27552,0.15257,1.5367,1.74362,1.34504,0.00096535,0.00096535,0.00096535
9,1050.82,1.56818,1.75543,1.37938,0.39301,0.30356,0.26187,0.14377,1.53773,1.71914,1.34921,0.0009604,0.0009604,0.0009604
10,1166.61,1.56604,1.74796,1.37842,0.41207,0.2978,0.26935,0.14777,1.54091,1.71853,1.35173,0.00095545,0.00095545,0.00095545
11,1282.92,1.55447,1.7196,1.36933,0.42208,0.31107,0.28343,0.1566,1.52765,1.69386,1.33344,0.0009505,0.0009505,0.0009505
12,1398.85,1.53656,1.71707,1.36259,0.4322,0.31843,0.29509,0.1636,1.5062,1.65083,1.32321,0.00094555,0.00094555,0.00094555
13,1514.98,1.53412,1.70893,1.35887,0.42193,0.31879,0.2911,0.16314,1.49855,1.65846,1.32392,0.0009406,0.0009406,0.0009406
14,1630.76,1.52703,1.69505,1.35409,0.4243,0.32337,0.29173,0.16277,1.4786,1.64535,1.30431,0.00093565,0.00093565,0.00093565
15,1746.97,1.52175,1.68398,1.34571,0.40428,0.32303,0.29074,0.16273,1.48741,1.66154,1.31322,0.0009307,0.0009307,0.0009307
16,1862.26,1.51536,1.67277,1.34655,0.42249,0.32237,0.29176,0.16339,1.46454,1.64175,1.30475,0.00092575,0.00092575,0.00092575
17,1978.07,1.51008,1.66475,1.34323,0.41144,0.33329,0.2972,0.16902,1.46062,1.63061,1.30607,0.0009208,0.0009208,0.0009208
18,2094.35,1.50133,1.66172,1.33873,0.41847,0.33175,0.29765,0.16811,1.47427,1.62791,1.31015,0.00091585,0.00091585,0.00091585
19,2209.5,1.49788,1.65185,1.33544,0.45047,0.33172,0.30804,0.17537,1.44885,1.60063,1.29599,0.0009109,0.0009109,0.0009109
20,2325.27,1.4946,1.63972,1.32844,0.45786,0.32215,0.30614,0.17267,1.4571,1.60048,1.29388,0.00090595,0.00090595,0.00090595
21,2441.18,1.49651,1.64098,1.33201,0.43785,0.33831,0.30751,0.17538,1.4441,1.5928,1.29578,0.000901,0.000901,0.000901
22,2557.08,1.48849,1.62521,1.32642,0.42365,0.33856,0.31184,0.17749,1.45432,1.59183,1.29523,0.00089605,0.00089605,0.00089605
23,2673.13,1.48154,1.62317,1.31963,0.43255,0.33871,0.31216,0.17906,1.43056,1.57422,1.28173,0.0008911,0.0008911,0.0008911
24,2788.85,1.47926,1.62024,1.32018,0.45148,0.34436,0.32082,0.18188,1.42962,1.56508,1.27664,0.00088615,0.00088615,0.00088615
25,2904.8,1.47238,1.61796,1.31952,0.45605,0.3438,0.32227,0.18357,1.42722,1.55633,1.28188,0.0008812,0.0008812,0.0008812
