epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.523,1.8634,2.92098,1.26782,0.44284,0.10686,0.08949,0.04517,1.76171,1.77828,1.16826,0.0684299,0.00166159,0.00166159
2,653.768,1.76829,1.96868,1.21534,0.50003,0.13918,0.12236,0.06526,1.66179,1.57973,1.11376,0.0367614,0.00332644,0.00332644
3,969.095,1.77186,1.8606,1.20255,0.49357,0.13589,0.1167,0.06041,1.7612,1.64618,1.13864,0.00508568,0.00498405,0.00498405
4,1283.02,1.77222,1.8142,1.19834,0.49944,0.12342,0.11139,0.05844,1.73648,1.65507,1.14813,0.00497555,0.00497555,0.00497555
5,1600.14,1.75122,1.75442,1.18393,0.43499,0.14444,0.1312,0.06919,1.67191,1.54203,1.10576,0.00495659,0.00495659,0.00495659
6,1917.2,1.73192,1.71283,1.17859,0.43249,0.13962,0.12576,0.07141,1.56112,1.54968,1.08882,0.00493229,0.00493229,0.00493229
7,2235.47,1.71486,1.67729,1.16787,0.45781,0.15681,0.14337,0.07673,1.62321,1.46517,1.0953,0.0049027,0.0049027,0.0049027
8,2544.34,1.70395,1.65141,1.16371,0.54894,0.15175,0.14856,0.08103,1.59793,1.44201,1.08106,0.00486787,0.00486787,0.00486787
9,2861.03,1.68323,1.61716,1.15554,0.47694,0.16406,0.15005,0.08337,1.55667,1.43688,1.0824,0.0048279,0.0048279,0.0048279
10,3175.27,1.6812,1.60934,1.15516,0.41867,0.1562,0.14777,0.08456,1.50598,1.43116,1.06233,0.00478287,0.00478287,0.00478287
11,3494.16,1.67023,1.58727,1.1476,0.4858,0.16991,0.1578,0.08759,1.5489,1.39321,1.06301,0.00473287,0.00473287,0.00473287
12,3802.77,1.66015,1.57131,1.14588,0.46007,0.16411,0.157,0.08903,1.50946,1.39335,1.06607,0.00467802,0.00467802,0.00467802
13,4108.21,1.64888,1.55223,1.14082,0.42033,0.17013,0.15979,0.0891,1.54154,1.38096,1.06143,0.00461843,0.00461843,0.00461843
14,4417.79,1.64413,1.54015,1.13599,0.42648,0.17078,0.16233,0.09137,1.5364,1.37066,1.06691,0.00455425,0.00455425,0.00455425
15,4727.62,1.637,1.5294,1.13604,0.50143,0.16874,0.16349,0.09327,1.50375,1.36264,1.04998,0.0044856,0.0044856,0.0044856
16,5040.37,1.63083,1.51936,1.13236,0.43185,0.17567,0.16801,0.0974,1.47741,1.33086,1.04759,0.00441265,0.00441265,0.00441265
17,5358.78,1.62926,1.5158,1.1309,0.53032,0.17602,0.17232,0.09963,1.47233,1.34782,1.04633,0.00433554,0.00433554,0.00433554
18,5672.12,1.62066,1.49696,1.12675,0.47079,0.17678,0.17411,0.10074,1.47588,1.32212,1.04668,0.00425445,0.00425445,0.00425445
19,5983.21,1.6123,1.48373,1.12527,0.44465,0.18297,0.17502,0.10059,1.46614,1.30645,1.0466,0.00416957,0.00416957,0.00416957
20,6296.15,1.61173,1.48563,1.12251,0.44113,0.18361,0.17495,0.1025,1.43784,1.32433,1.03753,0.00408106,0.00408106,0.00408106
21,6613.13,1.60218,1.47095,1.11969,0.52904,0.181,0.18098,0.10595,1.43734,1.29123,1.03779,0.00398914,0.00398914,0.00398914
22,6927.43,1.60123,1.46696,1.11925,0.502,0.18362,0.17451,0.10066,1.46775,1.30092,1.04678,0.003894,0.003894,0.003894
23,7241.24,1.58459,1.4502,1.11493,0.51819,0.1861,0.18318,0.10732,1.41432,1.27141,1.03127,0.00379585,0.00379585,0.00379585
24,7554.1,1.58904,1.45091,1.11616,0.52917,0.18181,0.18228,0.10638,1.43226,1.27573,1.02839,0.0036949,0.0036949,0.0036949
25,7861.98,1.58329,1.44051,1.11231,0.5306,0.188,0.18255,0.10781,1.40128,1.26782,1.02831,0.00359139,0.00359139,0.00359139
26,8170.93,1.57677,1.43282,1.11109,0.51551,0.19493,0.18543,0.10816,1.43066,1.26399,1.03135,0.00348553,0.00348553,0.00348553
27,8478.3,1.57349,1.43265,1.10913,0.44153,0.19423,0.18291,0.10803,1.40984,1.25425,1.02807,0.00337756,0.00337756,0.00337756
28,8786.06,1.56629,1.41886,1.10755,0.46685,0.19219,0.1879,0.10965,1.43222,1.25006,1.02836,0.00326771,0.00326771,0.00326771
29,9088.74,1.5673,1.41626,1.10537,0.4592,0.19267,0.18835,0.11109,1.3951,1.24303,1.02055,0.00315623,0.00315623,0.00315623
30,9393.88,1.55846,1.41157,1.10332,0.53622,0.19641,0.19286,0.1136,1.39927,1.24682,1.02342,0.00304336,0.00304336,0.00304336
31,9705.64,1.55386,1.39975,1.10086,0.53007,0.1945,0.1909,0.11203,1.38779,1.23405,1.01907,0.00292936,0.00292936,0.00292936
32,10014.4,1.55127,1.39821,1.10132,0.49095,0.20574,0.19186,0.11165,1.43079,1.2363,1.02474,0.00281446,0.00281446,0.00281446
33,10324.8,1.55264,1.39417,1.09932,0.4664,0.19799,0.19594,0.1162,1.37986,1.22355,1.01644,0.00269893,0.00269893,0.00269893
34,10638.3,1.54476,1.38918,1.0984,0.45973,0.1977,0.19662,0.11601,1.40513,1.22902,1.02134,0.00258302,0.00258302,0.00258302
35,10943.1,1.53316,1.37574,1.094,0.47241,0.1898,0.19419,0.11583,1.36113,1.22089,1.01288,0.00246698,0.00246698,0.00246698
36,11250.3,1.53148,1.36886,1.09087,0.49344,0.20008,0.19526,0.11548,1.38465,1.21882,1.01667,0.00235107,0.00235107,0.00235107
37,11559.1,1.52424,1.3602,1.09134,0.53701,0.19641,0.1962,0.11639,1.37818,1.21245,1.01523,0.00223554,0.00223554,0.00223554
38,11870.8,1.52918,1.3672,1.09079,0.38731,0.20467,0.19723,0.11712,1.36642,1.20346,1.01168,0.00212064,0.00212064,0.00212064
39,12177,1.5234,1.35553,1.08623,0.45628,0.20245,0.19857,0.11866,1.37482,1.20778,1.00995,0.00200664,0.00200664,0.00200664
40,12483.4,1.51303,1.35071,1.08363,0.40572,0.20149,0.19906,0.11882,1.37918,1.20698,1.01242,0.00189377,0.00189377,0.00189377
41,12788,1.50743,1.33971,1.08328,0.4718,0.19958,0.20098,0.12071,1.35525,1.19347,1.00886,0.00178229,0.00178229,0.00178229
42,13090.2,1.50641,1.34032,1.08253,0.49866,0.2028,0.20127,0.12004,1.35619,1.19745,1.00816,0.00167244,0.00167244,0.00167244
43,13401.6,1.50778,1.33817,1.08128,0.42631,0.21068,0.20311,0.12165,1.36137,1.19199,1.0073,0.00156447,0.00156447,0.00156447
44,13711.3,1.50487,1.33403,1.08202,0.43572,0.20795,0.2027,0.12169,1.35482,1.18846,1.00863,0.00145861,0.00145861,0.00145861
45,14020.4,1.50361,1.33231,1.08009,0.44879,0.20411,0.20396,0.12189,1.35249,1.18716,1.00827,0.0013551,0.0013551,0.0013551
46,14327.9,1.49429,1.32152,1.07852,0.42532,0.21069,0.20437,0.12275,1.35478,1.18756,1.00645,0.00125415,0.00125415,0.00125415
47,14634.2,1.49018,1.31986,1.07604,0.46364,0.20503,0.20606,0.12291,1.35123,1.18365,1.00432,0.001156,0.001156,0.001156
48,14933.8,1.48112,1.30719,1.07336,0.43767,0.21142,0.20496,0.12276,1.35209,1.18311,1.00405,0.00106086,0.00106086,0.00106086
49,15232.4,1.4858,1.31453,1.07403,0.48088,0.20637,0.20771,0.12471,1.34032,1.18117,1.00267,0.000968936,0.000968936,0.000968936
50,15533,1.48381,1.30321,1.07477,0.43265,0.20906,0.20706,0.12493,1.34488,1.18086,1.00229,0.000880433,0.000880433,0.000880433
51,15836.6,1.47419,1.29002,1.0703,0.45067,0.20823,0.20734,0.12467,1.34421,1.17422,1.00326,0.000795546,0.000795546,0.000795546
52,16138.4,1.4842,1.30682,1.0753,0.44767,0.20712,0.20745,0.12502,1.33905,1.17685,1.00258,0.00071446,0.00071446,0.00071446
53,16446.7,1.47361,1.28989,1.07014,0.45047,0.20632,0.20779,0.12582,1.33381,1.1726,1.00169,0.000637354,0.000637354,0.000637354
54,16752.5,1.47538,1.29555,1.0703,0.3701,0.21212,0.20752,0.12523,1.33584,1.174,1.00035,0.000564398,0.000564398,0.000564398
55,17054.9,1.46648,1.28661,1.0689,0.43581,0.21143,0.20794,0.12565,1.33693,1.17256,1.00073,0.000495751,0.000495751,0.000495751
56,17357.9,1.47143,1.28675,1.07063,0.44618,0.2102,0.20739,0.12494,1.3398,1.17218,1.00082,0.000431566,0.000431566,0.000431566
57,17660.7,1.46651,1.28293,1.06783,0.46066,0.20801,0.20833,0.12511,1.33617,1.17065,1.0008,0.000371982,0.000371982,0.000371982
58,17946.4,1.40279,1.22958,1.04232,0.41002,0.20785,0.20578,0.12375,1.34039,1.18021,1.00277,0.000317131,0.000317131,0.000317131
59,18223.4,1.39682,1.21408,1.0403,0.40043,0.20804,0.20462,0.12296,1.34455,1.18107,1.00241,0.000267133,0.000267133,0.000267133
60,18497.7,1.39029,1.21022,1.03886,0.40225,0.20651,0.20486,0.1234,1.34663,1.18107,1.0024,0.000222098,0.000222098,0.000222098
61,18775.1,1.38697,1.20353,1.03594,0.40038,0.20774,0.20603,0.12361,1.34505,1.17988,1.00199,0.000182126,0.000182126,0.000182126
62,19051.9,1.38407,1.19745,1.03672,0.39249,0.20607,0.20582,0.12361,1.34417,1.17828,1.00185,0.000147304,0.000147304,0.000147304
63,19326.2,1.38437,1.19852,1.03591,0.3834,0.20783,0.20638,0.12399,1.3418,1.17696,1.00159,0.000117709,0.000117709,0.000117709
64,19604.6,1.3828,1.19667,1.03637,0.3883,0.20791,0.20636,0.12389,1.34209,1.17636,1.00169,9.34052e-05,9.34052e-05,9.34052e-05
65,19879.7,1.38475,1.19409,1.03507,0.38867,0.20769,0.20658,0.12401,1.34211,1.17565,1.00171,7.44468e-05,7.44468e-05,7.44468e-05
66,20157.5,1.38158,1.19232,1.03487,0.39212,0.2074,0.20687,0.12434,1.3425,1.17522,1.0015,6.08752e-05,6.08752e-05,6.08752e-05
67,20435.6,1.37982,1.19379,1.03469,0.37993,0.20542,0.20661,0.12408,1.34075,1.17437,1.00118,5.27203e-05,5.27203e-05,5.27203e-05
